Disease,NEVER DO
Fungal infection,"🚫 Avoid wearing tight, non-breathable clothing.
🚫 Do not share personal items like towels or razors.
🚫 Avoid walking barefoot in communal areas.
🚫 Do not skip proper hygiene practices.
🚫 Avoid using harsh, irritating skincare products."
Allergy,"🚫 Avoid exposure to known allergens.
🚫 Do not ignore allergy symptoms.
🚫 Avoid outdoor activities during high pollen counts.
🚫 Do not use strong perfumes or scented products.
🚫 Avoid consuming foods you are allergic to."
GERD,"🚫 Avoid eating large meals before bedtime.
🚫 Do not consume spicy, fatty, or acidic foods.
🚫 Avoid lying down immediately after eating.
🚫 Do not smoke or consume alcohol.
🚫 Avoid wearing tight clothing around the abdomen."
Chronic cholestasis,"🚫 Avoid consuming high-fat foods.
🚫 Do not skip medication prescribed by your doctor.
🚫 Avoid alcohol consumption.
🚫 Do not engage in strenuous physical activity without consulting a doctor.
🚫 Avoid exposure to toxic chemicals."
Drug Reaction,"🚫 Avoid taking medications without consulting a doctor.
🚫 Do not ignore unusual symptoms after taking medication.
🚫 Avoid combining medications without medical advice.
🚫 Do not skip follow-up appointments with your doctor.
🚫 Avoid using expired medications."
Peptic ulcer disease,"🚫 Avoid consuming spicy, acidic, or greasy foods.
🚫 Do not skip prescribed medications.
🚫 Avoid smoking and alcohol consumption.
🚫 Do not ignore persistent stomach pain.
🚫 Avoid excessive caffeine intake."
AIDS,"🚫 Avoid exposure to infections and illnesses.
🚫 Do not skip antiretroviral therapy (ART) medications.
🚫 Avoid sharing needles or personal items.
🚫 Do not engage in unprotected sexual activities.
🚫 Avoid consuming raw or undercooked foods."
Diabetes,"🚫 Avoid skipping meals or irregular eating patterns.
🚫 Do not ignore blood sugar monitoring.
🚫 Avoid consuming sugary or high-carb foods.
🚫 Do not skip diabetes medications or insulin.
🚫 Avoid excessive alcohol consumption."
Gastroenteritis,"🚫 Avoid consuming contaminated food or water.
🚫 Do not ignore symptoms of dehydration.
🚫 Avoid consuming dairy products during illness.
🚫 Do not engage in strenuous activities until fully recovered.
🚫 Avoid close contact with others to prevent spreading the infection."
Bronchial Asthma,"🚫 Avoid exposure to allergens and irritants.
🚫 Do not skip prescribed asthma medications.
🚫 Avoid smoking or exposure to secondhand smoke.
🚫 Do not engage in intense physical activities without proper management.
🚫 Avoid strong odors or fumes."
Hypertension,"🚫 Avoid consuming excessive salt and processed foods.
🚫 Do not skip prescribed antihypertensive medications.
🚫 Avoid smoking and excessive alcohol consumption.
🚫 Do not ignore regular blood pressure monitoring.
🚫 Avoid highly stressful situations without proper coping mechanisms."
Migraine,"🚫 Avoid known migraine triggers like certain foods and lights.
🚫 Do not skip prescribed medications.
🚫 Avoid excessive caffeine or alcohol consumption.
🚫 Do not ignore warning signs of an impending migraine.
🚫 Avoid irregular sleep patterns."
Cervical spondylosis,"🚫 Avoid poor posture and prolonged sitting.
🚫 Do not engage in high-impact or jarring activities.
🚫 Avoid lifting heavy objects without proper technique.
🚫 Do not skip physical therapy or prescribed exercises.
🚫 Avoid sleeping without proper neck support."
Paralysis (brain hemorrhage),"🚫 Avoid skipping prescribed rehabilitation exercises.
🚫 Do not ignore signs of complications like infections.
🚫 Avoid consuming excessive salt and unhealthy foods.
🚫 Do not skip follow-up appointments with healthcare providers.
🚫 Avoid strenuous activities without medical clearance."
Jaundice,"🚫 Avoid consuming alcohol and hepatotoxic substances.
🚫 Do not skip prescribed medications or treatments.
🚫 Avoid consuming fatty or processed foods.
🚫 Do not ignore symptoms of worsening liver function.
🚫 Avoid exposure to infectious agents like hepatitis viruses."
Malaria,"🚫 Avoid mosquito bites by using repellents and nets.
🚫 Do not skip antimalarial medications if prescribed.
🚫 Avoid traveling to high-risk areas without precautions.
🚫 Do not ignore symptoms of malaria.
🚫 Avoid consuming contaminated food or water."
Chicken pox,"🚫 Avoid scratching the blisters to prevent infection.
🚫 Do not expose immunocompromised individuals to the virus.
🚫 Avoid consuming acidic or spicy foods that can irritate lesions.
🚫 Do not skip prescribed antiviral medications if given.
🚫 Avoid going to public places to prevent spreading the virus."
Dengue,"🚫 Avoid mosquito bites by using repellents and nets.
🚫 Do not ignore symptoms of dengue fever.
🚫 Avoid taking non-prescribed medications, especially NSAIDs.
🚫 Do not consume alcohol during recovery.
🚫 Avoid strenuous activities until fully recovered."
Typhoid,"🚫 Avoid consuming contaminated food or water.
🚫 Do not skip prescribed antibiotics.
🚫 Avoid close contact with others to prevent spreading the infection.
🚫 Do not ignore symptoms of typhoid fever.
🚫 Avoid consuming raw or undercooked foods."
hepatitis A,🚫 Avoid smoking and alcohol consumption.
Hepatitis B,"🚫 Avoid consuming alcohol and hepatotoxic substances.
🚫 Do not skip prescribed antiviral medications.
🚫 Avoid sharing needles or personal items.
🚫 Do not ignore symptoms of worsening liver function.
🚫 Avoid close contact with others to prevent spreading the virus."
Hepatitis C,"🚫 Avoid consuming alcohol and hepatotoxic substances.
🚫 Do not skip prescribed antiviral medications.
🚫 Avoid sharing needles or personal items.
🚫 Do not ignore symptoms of worsening liver function.
🚫 Avoid close contact with others to prevent spreading the virus."
Hepatitis D,"🚫 Avoid consuming alcohol and hepatotoxic substances.
🚫 Do not skip prescribed antiviral medications.
🚫 Avoid sharing needles or personal items.
🚫 Do not ignore symptoms of worsening liver function.
🚫 Avoid close contact with others to prevent spreading the virus."
Hepatitis E,"🚫 Avoid consuming contaminated food or water.
🚫 Do not skip prescribed medications or treatments.
🚫 Avoid consuming alcohol and hepatotoxic substances.
🚫 Do not ignore symptoms of worsening liver function.
🚫 Avoid close contact with others to prevent spreading the virus."
